x_dot y_dot theta_dot
2.946698691804328973e+00 5.629980636899696300e-01 -2.564049200291024233e-01
2.960164079356932820e+00 4.872664807730198167e-01 -2.405767466931174048e-01
2.971028858787779114e+00 4.159176844643488469e-01 -2.238281919954794030e-01
2.979593294131450243e+00 3.493190541137022320e-01 -2.062291845691425485e-01
2.986163166705526173e+00 2.878012192663939595e-01 -1.878518356993697236e-01
2.991042379679229590e+00 2.316581165485295246e-01 -1.687700693016382647e-01
2.994525925499389452e+00 1.811476787376150033e-01 -1.490592892502229094e-01
2.996893334151420341e+00 1.364930171063149233e-01 -1.287960859944120295e-01
2.998402696818430080e+00 9.788395022660885403e-02 -1.080579827431321083e-01
2.999285337498551307e+00 6.547873140342193310e-02 -8.692321994019029663e-02
2.999741185568021606e+00 3.940583214396992801e-02 -6.547057533055090917e-02
2.999934885808154483e+00 1.976564977975315066e-02 -4.377921566267572312e-02
2.999992669370232345e+00 6.632022683009903413e-03 -2.192857500430983597e-02
2.999999999523749850e+00 5.345558359750342807e-05 3.000000000000000076e-06
