time,x,y,angular_z
15.18,3.1694570010674306,-2.176757568737466,-0.40155213319311445
15.2,3.1726401663344475,-2.1965025760551664,-0.40161334316983904
15.22,3.1756646322945725,-2.2162725143480144,-0.40167334302268537
15.24,3.1785301800865637,-2.2360661115366343,-0.4017321566270466
15.26,3.1812366014898923,-2.2558820933790815,-0.40178980738972336
15.28,3.183783698938579,-2.2757191835681865,-0.40184631825725475
15.3,3.1861712855342326,-2.2955761038287688,-0.4019017117248381
15.32,3.1883991850582682,-2.3154515740147206,-0.401956009845813
15.34,3.1904672319833347,-2.335344312205932,-0.4020092342398189
15.36,3.192375271483934,-2.355253034805087,-0.40206140610124225
15.38,3.1941231594462502,-2.3751764566343296,-0.40211254620734893
15.4,3.1957107624771814,-2.3951132910317616,-0.4021626749272646
15.42,3.197137957912585,-2.4150622499477987,-0.4022118122287017
15.44,3.1984046338247363,-2.435022044041399,-0.4022599776869645
15.46,3.1995106890289975,-2.454991382776101,-0.4023071904921252
15.48,3.200456033089714,-2.474968974515949,-0.40235346945603445
15.5,3.2012405863253277,-2.494953526621221,-0.4023988330209051
15.52,3.2018642798127126,-2.514943745544035,-0.40244329926522115
15.54,3.2023270553907452,-2.534938336923767,-0.40248688591217263
15.56,3.2026288656630997,-2.5549360056823165,-0.4025296103351943
15.58,3.2027696740002796,-2.5749354561192037,-0.40257148956647837
15.6,3.202749454540882,-2.594935392006497,-0.4026125403018245
15.62,3.2025681921921048,-2.614934516683568,-0.4026527789088075
15.64,3.2022258826294876,-2.6349315331516805,-0.4026922214322955
15.66,3.201722532295907,-2.654925144168375,-0.4027308836006842
15.68,3.2010581583998077,-2.6749140523417223,-0.4027687808332683
15.7,3.2002327889126914,-2.6948969602243382,-0.40280592824446854
15.72,3.199246462565852,-2.7148725704072514,-0.4028423406518071
15.74,3.1980992288463654,-2.7348395856135816,-0.4028780325798989
15.76,3.196791147992338,-2.754796708792003,-0.4029130182672744
15.78,3.195322290987414,-2.7747426432100237,-0.4029473116722488
15.8,3.1936927395545402,-2.7946760925470975,-0.40298092647716854
15.82,3.191902586149,-2.8145957609874857,-0.4030138760949906
15.84,3.189951933950713,-2.8345003533129507,-0.403046173673905
15.86,3.1878408968558007,-2.854388574995229,-0.4030778321032852
15.88,3.1855695994674234,-2.8742591322883193,-0.40310886401777146
15.9,3.1831381770858935,-2.894110732320525,-0.4031392818029355
15.92,3.180546775698066,-2.9139420831862948,-0.4031690976000094
15.94,3.177795551966002,-2.933751894037856,-0.403198323310685
15.96,3.1748846732149203,-2.953538875176608,-0.40322697060165386
15.98,3.171814317420421,-2.9733017381443227,-0.4032550509098953
16.02,3.165195939773888,-3.012749962480992,-0.40330955520022627
16.04,3.1616483270000684,-3.032432753952687,-0.40333600094479427
16.06,3.157942055308744,-3.0520862876395647,-0.4033619232398705
16.08,3.154077355710971,-3.071709282644826,-0.4033873324379836
16.1,3.15005446977666,-3.0913004598541765,-0.40341223868528475
16.12,3.1458736496168482,-3.110858542025397,-0.403436651929273
16.14,3.141535157865274,-3.130382253877601,-0.4034605819205463
16.16,3.1370392676592664,-3.1498703221802447,-0.4034840382170033
16.18,3.132386262619939,-3.169321475841886,-0.4035070301884753
16.2,3.1275764368316903,-3.1887344459986675,-0.4035295670187573
16.22,3.1226100948210123,-3.2081079661025544,-0.4035516577109339
16.24,3.1174875515346185,-3.227440772009296,-0.4035733110899404
16.26,3.1122091323168877,-3.2467316020661197,-0.40359453580690663
16.28,3.1067751728866213,-3.265979197199142,-0.40361534034157875
16.3,3.1011860193131287,-3.285182301000509,-0.40363573300619016
16.32,3.0954420279916297,-3.304339659815248,-0.40365572194926697
16.34,3.0895435656179884,-3.323450022827841,-0.40367531515768285
16.36,3.08349100916277,-3.3425121421485042,-0.40369452046118015
16.38,3.0772847458446337,-3.3615247728991733,-0.40371334553412974
16.4,3.0709251731030536,-3.380486673299196,-0.40373179789992875
16.42,3.0644126985703775,-3.399396604750727,-0.40374988493264113
16.44,3.057747740043228,-3.4182533319238106,-0.4037676138612754
16.46,3.0509307254532367,-3.437055622841162,-0.4037849917713101
16.48,3.0439620928371287,-3.4558022489626388,-0.40380202560886186
16.5,3.0368422903061445,-3.474491985269393,-0.40381872218210557
16.52,3.0295717760148206,-3.493123610347709,-0.40383508816513614
16.54,3.0221510181291107,-3.5116959064725166,-0.40385113010012896
16.56,3.014580494793871,-3.53020765969058,-0.4038668543994372
16.58,3.0068606940996934,-3.548657659903354,-0.40388226734915444
16.6,2.998992114049096,-3.567044700949516,-0.4038973751111083
16.62,2.9909752625220913,-3.585367580687132,-0.4039121837243007
16.64,2.982810657241093,-3.6036251010755347,-0.4039266991100101
16.66,2.9744988257352034,-3.621816068256817,-0.4039409270712161
16.68,2.9660403053038755,-3.6399392926369876,-0.4039548732971121
16.7,2.957435642979936,-3.6579935889667707,-0.4039685433632021
16.72,2.948685395491993,-3.675977776422051,-0.40398194273587296
16.74,2.9397901292262136,-3.6938906786839687,-0.40399507677276736
16.76,2.9307504201874877,-3.7117311240186353,-0.404007950725576
16.78,2.9215668539599693,-3.7294979453565014,-0.40402056974280576
16.8,2.9122400256670136,-3.747189980371334,-0.4040329388699729
16.82,2.9027705399304913,-3.7648060715588323,-0.40404506305397514
16.84,2.8931590108295016,-3.782345066314861,-0.40405694714320717
16.86,2.883406061858482,-3.799805817013301,-0.4040685958903349
16.88,2.873512325884708,-3.817187181083517,-0.40408001395385196
16.9,2.8634784451052027,-3.8344880210874304,-0.4040912059006108
16.92,2.8533050710030463,-3.851707204796205,-0.4041021762066308
16.94,2.842992864303088,-3.8688436052665263,-0.4041129292593876
16.96,2.8325424949270754,-3.88589610091649,-0.40412346936006865
16.98,2.8219546419481936,-3.902863575601081,-0.4041338007242751
17.02,2.8003692469548804,-3.9365390251285213,-0.40415385369099366
17.04,2.78937310842669,-3.953244795539346,-0.404163583314606
17.06,2.7782422931731303,-3.9698611362688068,-0.40417312024697366
17.08,2.7669775253223157,-3.9863869594740784,-0.40418246830336113
17.1,2.7555795378688823,-4.002821183193383,-0.4041916312230462
17.12,2.744049072624497,-4.019162731418532,-0.40420061267148727
17.14,2.7323868801678164,-4.035410534167036,-0.4042094162416163
17.16,2.7205937197938845,-4.0515635275537605,-0.40421804545476575
17.18,2.708670359462975,-4.067620653862164,-0.40422650376409897
17.2,2.6966175757488866,-4.083580861615063,-0.4042347945529497
17.22,2.6844361537866805,-4.09944310564497,-0.4042429211380289
17.24,2.672126887219883,-4.115206347163973,-0.4042508867709164
17.26,2.6596905781470284,-4.130869553833279,-0.4042586946431512
17.28,2.6471280370680943,-4.1464316998317985,-0.40426634786888344
17.3,2.6344400828298173,-4.161891765924955,-0.40427384951517603
17.32,2.621627542570801,-4.1772487395326765,-0.4042812025831067
17.34,2.608691251666047,-4.192501614796917,-0.40428841001792687
17.36,2.5956320536708977,-4.207649392648826,-0.40429547469788735
17.38,2.5824508002647586,-4.222691080875054,-0.40430239945183866
17.4,2.569148351193823,-4.237625694184182,-0.4043091870513902
